header1,header2,data length,command,control,Normal Speed,Angle Stepping,Speed Up Time,Speed Up Unit,Speed Down Time,Speed Down Unit,Lift Control (0-3),Special flag,max speed,min speed,Target X,Target Y,Target Angle,Current X,Current Y,Current Angle,PID_P ,PID_I ,PID_D ,PID_Gain,PID Control Time,Volume Melody,PID Activate Error Value,Condition,End command,Target end command,Traffic,Remote CF,Reveres,Delay,PID2_P(Free) ,PID2_I_Low(Free) ,Area Sensor Front,Area Sensor Right,Area Sensor Left,PID2_Gain(Free),maproute
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,59860,0,0,,,,3,0,1,1,10,20,0,1,2,114750,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,1,1,300,0,0,0,0,0,1,1,30,30,59860,0,0,,,,3,0,1,1,10,20,0,1,2,116100,0,0,0,0,1,0,2,1,1,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,10000,0,0,0,0,1,0,0,1,1,1,1
AA,55,57,1,2,500,0,0,0,0,0,1,0,30,30,0,115200,0,,,,3,0,1,1,10,20,0,1,1,72000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,115200,0,,,,3,0,1,1,10,20,0,1,1,74500,0,0,0,0,1,0,3,3,3,1,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,77000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,74300,0,0,,,,3,0,1,1,10,20,0,2,2,150000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,75000,0,0,,,,3,0,1,1,10,20,0,1,2,120000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,1,400,0,0,0,0,0,1,1,30,30,75000,0,0,,,,3,0,1,1,10,20,0,1,2,122000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,10000,0,0,0,0,1,0,4,4,4,1,1
